qid,n_words,t_suf_global,phi_suf_global,t_suf_perq,phi_suf_perq
test3168,8,5,0.625,5,0.625
test3169,9,4,0.4444,4,0.4444
test3170,7,5,0.7143,5,0.7143
test3171,8,4,0.5,4,0.5
test3172,8,3,0.375,3,0.375
test3173,8,5,0.625,7,0.875
test3174,8,4,0.5,4,0.5
test3175,8,7,0.875,7,0.875
test3176,8,6,0.75,6,0.75
test3177,16,4,0.25,11,0.6875
test3178,9,5,0.5556,5,0.5556
test3179,9,4,0.4444,4,0.4444
test3180,9,6,0.6667,1,0.1111
test3181,9,5,0.5556,9,1.0
test3182,9,1,0.1111,1,0.1111
test3183,12,12,1.0,12,1.0
test3184,17,11,0.6471,11,0.6471
test3185,11,10,0.9091,10,0.9091
test3186,8,1,0.125,1,0.125
test3187,10,5,0.5,9,0.9
test3188,8,7,0.875,7,0.875
test3189,8,4,0.5,4,0.5
test3190,8,6,0.75,8,1.0
test3191,7,4,0.5714,4,0.5714
test3192,8,,,,
test3193,10,9,0.9,9,0.9
test3194,10,2,0.2,2,0.2
test3195,8,6,0.75,4,0.5
test3196,9,3,0.3333,3,0.3333
test3197,9,3,0.3333,3,0.3333
test3198,8,4,0.5,4,0.5
test3199,9,4,0.4444,2,0.2222
test3200,10,,,,
test3201,9,7,0.7778,7,0.7778
test3202,10,5,0.5,5,0.5
test3203,10,7,0.7,7,0.7
test3204,8,8,1.0,,
test3205,8,4,0.5,4,0.5
test3206,8,7,0.875,,
test3207,7,4,0.5714,4,0.5714
test3208,13,4,0.3077,4,0.3077
test3209,9,4,0.4444,4,0.4444
test3210,8,6,0.75,6,0.75
test3211,10,8,0.8,8,0.8
test3212,8,6,0.75,8,1.0
test3213,14,13,0.9286,13,0.9286
test3214,9,7,0.7778,7,0.7778
test3215,9,7,0.7778,7,0.7778
test3216,9,4,0.4444,4,0.4444
test3217,9,5,0.5556,5,0.5556
test3218,14,4,0.2857,2,0.1429
test3219,10,4,0.4,4,0.4
test3220,8,4,0.5,4,0.5
test3221,9,5,0.5556,5,0.5556
test3222,12,9,0.75,9,0.75
test3223,8,7,0.875,7,0.875
test3224,8,7,0.875,5,0.625
test3225,8,1,0.125,1,0.125
test3226,8,5,0.625,5,0.625
test3227,8,7,0.875,7,0.875
test3228,9,1,0.1111,1,0.1111
test3229,6,3,0.5,3,0.5
test3230,10,10,1.0,10,1.0
test3231,12,2,0.1667,2,0.1667
test3232,9,6,0.6667,6,0.6667
test3233,12,7,0.5833,7,0.5833
test3234,10,10,1.0,10,1.0
test3235,8,,,,
test3236,7,7,1.0,7,1.0
test3237,7,4,0.5714,4,0.5714
test3238,7,3,0.4286,3,0.4286
test3239,12,7,0.5833,7,0.5833
test3240,8,4,0.5,4,0.5
test3241,8,4,0.5,4,0.5
test3242,14,7,0.5,8,0.5714
test3243,8,4,0.5,3,0.375
test3244,10,6,0.6,5,0.5
test3245,8,6,0.75,6,0.75
test3246,9,4,0.4444,4,0.4444
test3247,8,5,0.625,5,0.625
test3248,10,5,0.5,5,0.5
test3249,12,8,0.6667,6,0.5
test3250,8,8,1.0,8,1.0
test3251,11,6,0.5455,6,0.5455
test3252,9,3,0.3333,3,0.3333
test3253,8,,,,
test3254,8,5,0.625,5,0.625
test3255,10,10,1.0,10,1.0
test3256,9,5,0.5556,6,0.6667
test3257,8,7,0.875,7,0.875
test3258,9,9,1.0,9,1.0
test3259,9,3,0.3333,3,0.3333
test3260,9,2,0.2222,2,0.2222
test3261,8,6,0.75,6,0.75
test3262,9,5,0.5556,5,0.5556
test3263,8,7,0.875,7,0.875
test3264,8,4,0.5,4,0.5
test3265,8,2,0.25,2,0.25
test3266,8,5,0.625,5,0.625
test3267,8,3,0.375,3,0.375
test3268,8,3,0.375,3,0.375
test3269,8,3,0.375,3,0.375
test3270,9,5,0.5556,5,0.5556
test3271,12,6,0.5,9,0.75
test3272,10,5,0.5,8,0.8
test3273,11,5,0.4545,5,0.4545
test3274,8,5,0.625,6,0.75
test3275,8,5,0.625,5,0.625
test3276,7,7,1.0,,
test3277,8,5,0.625,1,0.125
test3278,9,7,0.7778,5,0.5556
test3279,8,5,0.625,5,0.625
test3280,10,,,8,0.8
test3281,9,5,0.5556,5,0.5556
test3282,8,6,0.75,6,0.75
test3283,8,2,0.25,5,0.625
test3284,8,4,0.5,4,0.5
test3285,8,3,0.375,3,0.375
test3286,9,6,0.6667,9,1.0
test3287,8,4,0.5,4,0.5
test3288,11,8,0.7273,7,0.6364
test3289,9,6,0.6667,6,0.6667
