qid,n_words,t_suf_global,phi_suf_global,t_suf_perq,phi_suf_perq
7311,4,,,,
7326,8,,,,
7329,9,2,0.2222,,
7344,6,5,0.8333,5,0.8333
7345,6,,,,
7377,7,5,0.7143,,
7431,10,,,,
7441,20,,,8,0.4
7445,15,,,,
7448,17,17,1.0,2,0.1176
7456,9,,,,
7463,16,,,,
7467,6,5,0.8333,1,0.1667
7484,9,4,0.4444,1,0.1111
7509,5,,,,
7512,7,,,,
7513,8,,,4,0.5
7529,14,7,0.5,,
7533,3,,,,
7534,17,17,1.0,1,0.0588
7590,12,4,0.3333,7,0.5833
7592,7,,,,
7594,7,,,,
7622,6,,,,
7633,11,6,0.5455,4,0.3636
7674,8,,,,
7700,13,,,,
7702,5,,,,
7705,12,12,1.0,,
7734,10,7,0.7,5,0.5
7747,10,,,,
7754,6,,,,
7758,5,,,,
7801,11,11,1.0,10,0.9091
7803,14,,,,
7823,10,5,0.5,3,0.3
7876,4,,,,
7879,16,,,,
7880,14,,,2,0.1429
7911,10,10,1.0,10,1.0
7925,6,,,1,0.1667
7928,18,,,,
7936,10,,,,
7992,7,4,0.5714,,
8002,11,7,0.6364,,
8005,8,,,1,0.125
8013,9,,,,
8017,10,,,,
8034,12,,,,
8040,12,11,0.9167,,
8072,13,9,0.6923,,
8079,6,6,1.0,6,1.0
8102,13,,,,
8116,6,,,,
8121,13,,,,
8202,9,,,,
8230,12,,,,
8247,5,,,,
8271,4,3,0.75,3,0.75
8275,12,,,,
8296,18,6,0.3333,3,0.1667
8332,13,7,0.5385,1,0.0769
8351,12,8,0.6667,8,0.6667
8378,10,,,,
8456,9,6,0.6667,6,0.6667
8475,11,10,0.9091,11,1.0
8507,5,,,,
8512,19,19,1.0,,
8513,6,,,,
8532,7,,,,
8537,5,,,3,0.6
8539,13,,,,
8544,15,10,0.6667,,
8592,12,4,0.3333,4,0.3333
8632,12,,,8,0.6667
8635,8,,,,
8702,11,4,0.3636,5,0.4545
8779,7,5,0.7143,4,0.5714
8789,13,3,0.2308,7,0.5385
8795,5,2,0.4,2,0.4
8832,11,11,1.0,,
8834,6,,,6,1.0
8855,8,,,,
8874,13,9,0.6923,1,0.0769
8934,5,5,1.0,3,0.6
8937,5,,,,
8947,10,,,,
8959,9,,,,
8970,11,,,,
8974,12,,,1,0.0833
8982,10,,,,
9060,5,,,,
9088,4,,,,
9108,7,,,,
9115,17,15,0.8824,6,0.3529
9126,6,,,,
9164,5,,,,
9174,11,,,,
9188,11,2,0.1818,1,0.0909
9245,11,,,,
9275,18,,,,
9291,18,,,9,0.5
9296,10,,,,
9329,8,1,0.125,1,0.125
9332,13,,,,
9381,6,,,5,0.8333
9385,3,,,3,1.0
9391,9,,,1,0.1111
9403,8,,,,
9481,8,4,0.5,4,0.5
9487,15,,,,
9548,15,,,,
9556,5,3,0.6,4,0.8
9565,10,7,0.7,9,0.9
9598,6,,,,
9617,6,,,,
9633,6,,,,
9643,11,11,1.0,,
9644,16,9,0.5625,2,0.125
9646,20,3,0.15,5,0.25
9668,9,4,0.4444,4,0.4444
9701,8,,,,
9733,4,,,,
9735,4,,,,
9737,3,1,0.3333,1,0.3333
9771,11,,,,
9808,3,,,,
